NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1122,E0320300047111,根白会館,岩手県大船渡市三陸町吉浜字根白119,1,,,39.157997311054,141.86074158494,
1123,E0320300048111,吉浜地区拠点センター,岩手県大船渡市三陸町吉浜字上野93-1,1,,,39.151095960542,141.83645683374,
1124,E0320300049111,千歳部落公民館,岩手県大船渡市三陸町吉浜字千歳170-2,1,,,39.162654618285,141.89273922261,
1125,E0320300050111,中通手前みそセンター,岩手県大船渡市三陸町吉浜字川原2-13,,,,39.143486036676,141.82395026288,
1126,E0320300051111,扇洞会館,岩手県大船渡市三陸町吉浜字扇洞7,1,,,39.156116390439,141.84302106764,
1127,E0320300052111,増舘会館,岩手県大船渡市三陸町吉浜字増舘14-4,1,,,39.134242392803,141.84974525921,
1128,E0320300053111,大野部落公民館,岩手県大船渡市三陸町吉浜字大野58-4,,,,39.144546823813,141.81862898451,
1129,E0320300055111,吉浜荘,岩手県大船渡市三陸町吉浜上野125-224,,,,39.159733785399,141.83057590531,
1130,E0320300056111,県営みどり町アパート集会所,岩手県大船渡市盛町字みどり町13-5,,,,39.083141085626,141.71526518428,
1131,E0320300057111,洞雲寺,岩手県大船渡市盛町字宇津野沢20,,,,39.082170734466,141.70655750643,
1132,E0320300058111,リアスホール,岩手県大船渡市盛町字下舘下18-1,1,,,39.077838017066,141.71037057533,
1133,E0320300059111,下舘下アパート集会所,岩手県大船渡市盛町字下舘下7-18,,,,39.077764644846,141.71310839748,
1134,E0320300062111,盛小学校（屋内体育館）,岩手県大船渡市盛町字沢川30,1,,,39.082036993745,141.70400484567,
1135,E0320300063111,盛こども園,岩手県大船渡市盛町字沢川47-1,,,,39.081619320728,141.7062661013,
1136,E0320300064111,市民体育館,岩手県大船渡市盛町字中道下1-1,,,,39.0800919339,141.71642968457,
1137,E0320300066111,担い手センター（長崎地域公民館）,岩手県大船渡市赤崎町字外口86-2,,,,39.02114245317,141.75676379361,
1138,E0320300068111,合足地域防災コミュニティセンター,岩手県大船渡市赤崎町字合足111-3,,,,39.037482835403,141.7637200861,
1139,E0320300071111,東朋中学校（屋内体育館）,岩手県大船渡市赤崎町字山口107-1,1,,,39.060971466696,141.74112942333,
1140,E0320300072111,赤崎地区公民館,岩手県大船渡市赤崎町字山口15-25,,,,39.066937818848,141.74100914494,
1141,E0320300073111,赤崎小学校（屋内体育館）,岩手県大船渡市赤崎町字山口8-4,1,,,39.066542929976,141.7419590277,
1142,E0320300074111,清水地域防災コミュニティセンター,岩手県大船渡市赤崎町字清水53-15,,,,39.042423550732,141.73877105456,
1143,E0320300077111,大洞地域公民館,岩手県大船渡市赤崎町字大洞111-2,,,,39.068071010205,141.74219901557,
1144,E0320300079111,森っこ・洞川原地域集会所,岩手県大船渡市赤崎町字大洞37-6,,,,39.070167326293,141.74376902046,
1145,E0320300080111,永浜地域集会所,岩手県大船渡市赤崎町字大立38-3,,,,39.056098882264,141.74038856755,
1146,E0320300082111,赤崎中井地域公民館,岩手県大船渡市赤崎町字中井38,,,,39.0893996,141.7188764,
1147,E0320300084111,フレアイランド尾崎岬,岩手県大船渡市赤崎町字鳥沢188-7,,,,39.024035067332,141.73990210432,
1148,E0320300085111,蛸ノ浦漁村厚生施設,岩手県大船渡市赤崎町字鳥沢219-5,,,,39.02872237833,141.74181825589,
1149,E0320300086111,旧蛸ノ浦保育園,岩手県大船渡市赤崎町字鳥沢62-2,1,,,39.032996885014,141.74015729937,
1150,E0320300088111,大船渡中学校（屋内体育館）,岩手県大船渡市大船渡町字永沢94-1,1,,,39.053302119242,141.71654906871,
1151,E0320300089111,下船渡地域公民館,岩手県大船渡市大船渡町字下船渡26-1,1,,,39.03661666712,141.71871197751,
1152,E0320300091111,県営赤沢アパート集会所,岩手県大船渡市大船渡町字山馬越64-3,,,,39.06712214511,141.71270606481,
1153,E0320300092111,大船渡北小学校（屋内体育館）,岩手県大船渡市大船渡町字山馬越68-2,1,,,39.065747898749,141.71277541494,
1154,E0320300095111,大船渡保育園,岩手県大船渡市大船渡町字台24-11,1,,,39.065717475469,141.71999508768,
1155,E0320300098111,富沢二区公民館,岩手県大船渡市大船渡町字富沢39-19,,,,39.07210067568,141.71299987432,
1156,E0320300099111,大船渡地区公民館,岩手県大船渡市大船渡町字明神前10-14,,,,39.061873299226,141.71319089665,
1157,E0320300101111,猪川地区公民館,岩手県大船渡市猪川町字下権現堂8-11,,,,39.093086096707,141.70558401814,
1158,E0320300102111,下久名畑公民館,岩手県大船渡市猪川町字久名畑48-2,,,,39.094919298179,141.69537133058,
1159,E0320300103111,前田公民館,岩手県大船渡市猪川町字前田5-8,,,,39.095577669754,141.70557258696,
1160,E0320300104111,県営長谷堂アパート集会所,岩手県大船渡市猪川町字中井沢78-2,,,,39.093088796706,141.72028979452,
1161,E0320300105111,しんしん館,岩手県大船渡市猪川町字長谷堂127-4,,,,39.09470825346,141.71961060316,
1162,E0320300106111,大船渡高校（屋内体育館）,岩手県大船渡市猪川町字長洞7-1,,,,39.093920703706,141.71736466121,
1163,E0320300107111,猪川小学校（屋内体育館）,岩手県大船渡市猪川町字轆轤石23,,,,39.093729048134,141.71163916374,
1164,E0320300108111,鷹生地域多目的集会センター（鷹生地域公民館）,岩手県大船渡市日頃市町字下鷹生85-4,,,,39.13934665284,141.68805635952,
1165,E0320300109111,日頃市地区公民館,岩手県大船渡市日頃市町字関谷21-5,,,,39.125852131479,141.67260131544,
1166,E0320300110111,日頃市保育園,岩手県大船渡市日頃市町字関谷34,,,,39.126353438838,141.67195865343,
1167,E0320300111111,坂本沢林業構造改善センター（坂本沢地域公民館）,岩手県大船渡市日頃市町字坂本沢104-3,,,,39.130288649794,141.66135940422,
1168,E0320300112111,宿公民館,岩手県大船渡市日頃市町字上宿32,,,,39.131791,141.6791441,
1169,E0320300113111,長安寺,岩手県大船渡市日頃市町字長安寺57,,,,39.108432383658,141.6862720843,
1170,E0320300114111,平山公民館,岩手県大船渡市日頃市町字平山37,,,,39.125631335026,141.68929130455,
1171,E0320300115111,梅神公民館,岩手県大船渡市末崎町字高清水99-13,,,,38.998674991595,141.70827952905,
1172,E0320300116111,長源寺,岩手県大船渡市末崎町字細浦150-1,1,,,39.017100599828,141.71285437791,
1173,E0320300117111,末崎小学校（屋内体育館）,岩手県大船渡市末崎町字山岸122-47,,,,39.004938438035,141.71713613856,
1174,E0320300118111,小田まとまるセンター,岩手県大船渡市末崎町字小田20-3,,,,38.9996998,141.7076238,
1175,E0320300120111,神坂公民館,岩手県大船渡市末崎町字神坂17-2,,,,39.014566546235,141.71728955889,
1176,E0320300121111,熊野神社（神坂）社務所,岩手県大船渡市末崎町字神坂24-10,,,,39.013984376008,141.71804314616,
1177,E0320300126111,碁石公民館,岩手県大船渡市末崎町字大豆沢60-1,,,,38.991269521298,141.73583800764,
1178,E0320300127111,三十刈公民館,岩手県大船渡市末崎町字大豆沢70-3,,,,38.992190967959,141.73440223624,
1179,E0320300129111,熊野神社（泊里）,岩手県大船渡市末崎町字中森17,,,,38.993072868764,141.72749375449,
1180,E0320300130111,碁石地区コミュニティセンター,岩手県大船渡市末崎町字中森24-3,,,,38.994065046044,141.72863069747,
1181,E0320300133111,旧末崎中学校（屋内体育館）,岩手県大船渡市末崎町字平林72-13,,,,39.004844467757,141.71055363292,
1182,E0320300134111,ふるさとセンター,岩手県大船渡市末崎町字平林81,,,,39.004431215179,141.70979015746,
1183,E0320300135111,門之浜地域公民館,岩手県大船渡市末崎町字門之浜56-3,1,,,39.00210916581,141.71811376779,
1184,E0320300136111,町場地域公民館,岩手県大船渡市立根町字萱中84-16,,,,39.121145730687,141.73095324436,
1185,E0320300137111,立根こども園,岩手県大船渡市立根町字関谷58-1,,,,39.114536796521,141.71927331155,
1186,E0320300138111,生活改善センター,岩手県大船渡市立根町字関谷69-8,,,,39.116780981246,141.72057044013,
1187,E0320300139111,大船渡第一中学校（屋内体育館）,岩手県大船渡市立根町字宮田86,,,,39.102498151197,141.71309683464,
1188,E0320300140111,安養寺,岩手県大船渡市立根町字小林4,,,,39.116685027158,141.71553855503,
1189,E0320300141111,立根小学校（屋内体育館）,岩手県大船渡市立根町字上ノ台19-2,,,,39.114792115646,141.72136922126,
1190,E0320300142111,和村公民館,岩手県大船渡市立根町字猫足59-6,,,,39.115276782509,141.71510444884,
1191,E0320300143111,大船渡東高校（屋内体育館）,岩手県大船渡市立根町字冷清水1-1,,,,39.112511282469,141.7130193368,
1192,E0346100001111,安渡分館・避難ホール,岩手県大槌町安渡2-11-1,1,,,39.36169672696,141.91691731709,
1193,E0346100017111,浪板交流促進センター,岩手県大槌町吉里々々11-25,1,,,39.385406,141.9347807,
1194,E0346100006111,吉里吉里学園中学部,岩手県大槌町吉里吉里1-215,1,,,39.366120965432,141.94316227672,
1195,E0346100009121,幼保連携型認定こども園　つつみこども園,岩手県大槌町吉里吉里2-2-2,,,要配慮者,39.370448,141.939609,
1196,E0346100010111,吉里吉里学園小学部,岩手県大槌町吉里吉里2-4-1,1,,,39.371799769438,141.94050954048,
1197,E0346100008121,吉里吉里保育園,岩手県大槌町吉里吉里21-60-8,,,要配慮者,39.366639,141.940598,
1198,E0346100011121,特別養護老人ホームらふたぁヒルズ,岩手県大槌町吉里吉里29-21-57,,,要配慮者,39.364599,141.944156,
1199,E0346100013121,特別養護老人ホーム三陸園,岩手県大槌町吉里吉里32-18-25,,,要配慮者,39.371631,141.955057,
1200,E0346100016111,吉祥寺三光殿,岩手県大槌町吉里吉里4-4-7,1,,,39.373182897079,141.93656908201,
1201,E0346100019111,旧金沢小学校体育館,岩手県大槌町金沢29-19,1,,,39.44040174,141.8074359,
1202,E0346100020111,金沢地区生活改善センター,岩手県大槌町金沢30-35-2,1,,,39.434613911862,141.81323749345,
